PLD ,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KN2,NN2 1 Bar (mol/kg)
9.80847,15.56875,1.587276099,1601.48,0.71824,0.924093938,34.50980392,28.23529412,31.37254902,0,4.705882353,1.176470588,417,4.46046E-06,0.189426043
7.44821,15.46142,2.075857152,1017.49,0.65072,0.561086441,37.27598566,25.80645161,22.9390681,0,12.90322581,1.075268817,545,4.78581E-06,0.188890929
9.65924,15.5822,1.6131911,1588.27,0.7159,0.908175226,41.55844156,20.77922078,31.16883117,0,5.194805195,1.298701299,577,4.23338E-06,0.181296106
6.23259,15.65949,2.512517268,1088.92,0.64664,0.56485469,41.2371134,24.74226804,16.49484536,4.12371134,12.37113402,1.030927835,673,4.54697E-06,0.175691473
9.82464,15.83521,1.611785266,1663.24,0.72366,0.965773663,41.55844156,20.77922078,31.16883117,0,5.194805195,1.298701299,577,3.86942E-06,0.173109271
5.59471,9.38154,1.676859033,1632.18,0.68288,0.65523561,37.87878788,22.72727273,15.15151515,15.15151515,9.090909091,0,631,2.10292E-06,0.102895333
10.59979,11.41407,1.07682039,1239.07,0.64844,0.540497287,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009,2.25148E-06,0.108862509
10.7235,11.51533,1.07384063,1239.1,0.65144,0.543410077,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009,2.3216E-06,0.112364551
5.62446,9.38408,1.668441059,1645.73,0.68264,0.656649801,37.87878788,22.72727273,15.15151515,15.15151515,9.090909091,0,631,2.10615E-06,0.102503494
10.54479,11.3608,1.077385135,1239.59,0.64786,0.5401399,44.44444444,11.11111111,0,33.33333333,11.11111111,0,1009,2.19614E-06,0.106703941
5.3868,5.98273,1.110627831,1825.78,0.6472,0.547657731,46.15384615,19.23076923,5.769230769,23.07692308,5.769230769,0,609,3.51054E-06,0.160827491
8.62816,8.89536,1.030968364,2010.8,0.68672,0.819724379,40,32,24,0,4,0,385,3.99189E-06,0.191360636
6.98768,7.45121,1.066335322,1648.25,0.64758,0.685021204,40,32,24,0,4,0,577,4.33236E-06,0.194891445
5.04419,5.6675,1.123569889,775.814,0.56556,0.483880903,40,32,24,0,4,0,577,4.63779E-06,0.168959056
3.95176,6.01834,1.522951799,992.855,0.5848,0.505764225,42.85714286,14.28571429,0,28.57142857,7.142857143,0,961,4.48687E-06,0.181156494
4.30595,6.18036,1.435306959,1044.18,0.58002,0.495756301,46.47887324,33.8028169,0,16.90140845,2.816901408,0,505,8.31938E-06,0.247736691
5.15676,8.28593,1.606809314,2392.11,0.68804,0.803629203,46.47887324,33.8028169,0,16.90140845,2.816901408,0,505,3.59137E-06,0.165988778
5.0837,6.42024,1.262906938,470.525,0.45748,0.257256931,43.47826087,8.695652174,0,39.13043478,8.695652174,0,865,2.23859E-06,0.081565027
4.61254,5.76705,1.2502981,719.64,0.51364,0.337698882,45.45454545,25,4.545454545,20.45454545,4.545454545,0,697,2.93327E-06,0.115556233
7.73483,9.7655,1.262535828,2432.48,0.6857,0.942650502,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977,4.12573E-06,0.182448831
7.27061,12.53569,1.724159321,2689.4,0.71196,1.078766501,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977,3.66822E-06,0.173014175
7.22634,12.40052,1.716016683,2664.77,0.70856,1.06380008,52.63157895,33.91812865,4.678362573,7.01754386,1.754385965,0,977,3.73856E-06,0.175988614
6.25728,8.85063,1.414453245,1513.41,0.6165,0.683056325,45.61403509,31.57894737,14.03508772,7.01754386,1.754385965,0,817,2.91146E-06,0.137043593
6.2555,9.00205,1.439061626,1544.35,0.61652,0.689947682,45.61403509,31.57894737,14.03508772,7.01754386,1.754385965,0,817,2.93838E-06,0.138264312
7.27063,12.32132,1.694670201,4229.76,0.79122,1.470005184,50.60240964,28.91566265,2.409638554,14.45783133,3.614457831,0,481,3.23574E-06,0.159347122
6.27917,6.56282,1.045173168,1383.64,0.61276,0.589748032,57.14285714,0,0,35.71428571,7.142857143,0,769,2.14276E-06,0.098909164
4.32918,9.00116,2.079183587,2211.93,0.67476,0.751965836,43.90243902,29.26829268,0,19.51219512,4.87804878,0,577,5.81389E-06,0.231216558
5.3133,5.72633,1.077735118,812.745,0.49472,0.478549802,54.54545455,36.36363636,0,7.272727273,1.818181818,0,721,5.26703E-06,0.194862023
5.9183,9.52144,1.608813342,2357.12,0.67852,0.81880011,46.80851064,34.04255319,12.76595745,4.255319149,2.127659574,0,897,4.12725E-06,0.179360791
4.73321,7.16113,1.512954211,794.486,0.52734,0.458217839,50.66666667,30.66666667,8,8,2.666666667,0,849,3.07857E-06,0.122474569
5.70377,6.40025,1.122108711,1508.87,0.63598,0.523405866,45.45454545,9.090909091,0,36.36363636,9.090909091,0,865,3.20646E-06,0.143595339
5.8507,10.41989,1.780964671,2796.15,0.72036,0.921342595,50,22.72727273,2.272727273,18.18181818,4.545454545,2.272727273,817,4.25379E-06,0.19513584
5.75428,10.54748,1.832979973,2567.95,0.70918,0.858693059,48.88888889,22.22222222,2.222222222,17.77777778,4.444444444,4.444444444,817,4.38297E-06,0.199468183
6.2198,7.47545,1.201879482,6876.67,0.77906,1.665309298,43.07692308,43.07692308,12.30769231,0,1.538461538,0,673,4.4404E-06,0.214671622
8.16815,10.52737,1.28883162,3199.68,0.73192,1.01319793,55.94405594,30.76923077,0,11.18881119,2.097902098,0,929,5.36665E-06,0.236539595
8.1108,10.25531,1.264401785,3116.37,0.72418,0.964116874,55.94405594,30.76923077,0,11.18881119,2.097902098,0,929,5.76573E-06,0.249640557
7.74023,10.53968,1.361675299,3228.28,0.74936,1.089765777,55.94405594,30.76923077,0,11.18881119,2.097902098,0,465,4.17167E-06,0.195337319
3.88543,4.88713,1.257809303,369.672,0.4621,0.280352853,22.22222222,22.22222222,0,44.44444444,11.11111111,0,217,1.13603E-06,0.051411866
3.95303,4.75824,1.203694381,372.087,0.4557,0.274075589,22.22222222,22.22222222,0,44.44444444,11.11111111,0,217,1.13001E-06,0.051096992
4.01813,5.12784,1.276175733,470.1,0.48134,0.302214465,22.22222222,22.22222222,0,44.44444444,11.11111111,0,217,1.23266E-06,0.055425384
4.03284,5.13844,1.274149235,471.211,0.48386,0.304450415,22.22222222,22.22222222,0,44.44444444,11.11111111,0,217,1.22722E-06,0.054877389
