PLD,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KCH4,NCH4 0.1 Bar (mol/kg)
4.32303,5.2765,1.22,614.956,0.51092,0.373689869,50.90909091,29.09090909,2.424242424,14.54545455,3.03030303,0,961.00,2.06089E-05,0.099054763
4.89301,7.12611,1.46,359.997,0.42696,0.215210291,26.96629213,33.70786517,6.741573034,26.96629213,5.617977528,0,325.00,0.00001494,0.07001125
4.85632,5.15455,1.06,290.49,0.42748,0.218491089,46.34146341,14.63414634,0,19.51219512,4.87804878,14.63414634,1537.00,5.89081E-06,0.029096697
5.31262,5.94406,1.12,1676.32,0.585,0.631851129,50.90909091,36.36363636,3.636363636,7.272727273,1.818181818,0,721.00,4.27662E-05,0.206403578
4.38484,5.04792,1.15,637.477,0.50342,0.385830453,35.05154639,35.05154639,8.24742268,14.43298969,3.092783505,0,409.00,3.78799E-05,0.175994576
5.98269,11.92678,1.99,3595.66,0.7674,1.180669877,52,16,4,24,4,0,529.00,1.16908E-05,0.057831578
5.8094,8.58065,1.48,3829.97,0.74696,1.071239061,52,16,4,24,4,0,705.00,9.24313E-06,0.045964758
14.56862,19.86541,1.36,5239.57,0.8979,3.268954219,44.11764706,30.88235294,8.823529412,13.97058824,2.205882353,0,469.00,5.80166E-06,0.028982781
7.13825,18.06508,2.53,3583.27,0.78558,1.307595767,44,24,8,20,4,0,385.00,8.6743E-06,0.042542154
7.10984,18.20917,2.56,3616.43,0.7878,1.330574674,44,24,8,20,4,0,385.00,8.56847E-06,0.043119602
3.91412,6.17139,1.58,348.73,0.47888,0.334268683,38.24701195,19.52191235,19.12350598,18.32669323,4.780876494,0,573.00,7.98696E-06,0.039569212
5.01976,7.8603,1.57,1872.41,0.63848,0.651621246,44.73684211,26.31578947,0,23.68421053,5.263157895,0,577.00,8.84031E-06,0.044390761
5.75713,6.38387,1.11,836.806,0.56368,0.42108094,42.5,25,0,25,7.5,0,769.00,1.55287E-06,0.007720474
5.21411,9.3993,1.80,1734.94,0.65336,0.7249519,49.6350365,27.73722628,2.919708029,17.51824818,2.189781022,0,1177.00,9.66816E-06,0.048569728
5.599,9.32283,1.67,1886.63,0.66208,0.703914333,51.5625,24.21875,2.34375,18.75,3.125,0,1213.00,8.42378E-06,0.041898715
5.12412,6.86569,1.34,763.837,0.52398,0.439694887,45.71428571,22.85714286,0,25.71428571,5.714285714,0,769.00,1.37864E-06,0.006821094
5.02701,7.87306,1.57,1814.29,0.62718,0.698071227,43.38624339,38.0952381,2.645502646,14.28571429,1.587301587,0,1105.00,1.19547E-05,0.058957192
4.84057,5.59976,1.16,802.013,0.57368,0.384617448,31.74603175,22.22222222,12.6984127,3.174603175,11.11111111,19.04761905,209.00,2.0684E-06,0.010226712
6.77342,8.54387,1.26,5152.82,0.78994,1.393388838,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241.00,6.92369E-06,0.034678119
6.76817,8.54787,1.26,5042.3,0.78954,1.361419046,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241.00,6.81113E-06,0.03446015
6.74275,8.53005,1.27,4965.77,0.78896,1.335163282,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241.00,6.81877E-06,0.034297469
13.37911,18.75501,1.40,3444.39,0.83558,1.961704066,49.12280702,28.07017544,7.01754386,14.03508772,1.754385965,0,241.00,4.01399E-06,0.020333091
5.66314,6.60314,1.17,524.815,0.44294,0.296779208,40,24,16,16,4,0,757.00,2.86456E-05,0.131940617
6.0951,6.93247,1.14,591.602,0.45062,0.308821514,40,24,16,16,4,0,1345.00,2.26774E-05,0.107561314
9.17864,11.03089,1.20,1145.77,0.60242,0.597959224,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865.00,2.84265E-05,0.129143925
11.07263,11.39418,1.03,1178.61,0.6096,0.620543281,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865.00,2.72031E-05,0.122014708
9.50667,11.07211,1.16,1167.32,0.60696,0.613756742,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865.00,2.79411E-05,0.127162329
10.87494,11.21563,1.03,1161.61,0.60852,0.617172136,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865.00,2.79424E-05,0.127817698
